web-scraper-order,web-scraper-start-url,titulo,descripcion,salario
"1762090367-1","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Senior Sales Account Executive","",""
"1762090367-2","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Consultant","",""
"1762090367-3","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Business Analyst","",""
"1762090367-4","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Business Analyst","",""
"1762090367-5","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Analista Financiero","",""
"1762090367-6","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Global Data Analyst","",""
"1762090367-7","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Operations Finance Analyst (Casablanca)","",""
"1762090367-8","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Field Marketing Senior Analyst","",""
"1762090367-9","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Responsable Sistema de Gestión integrado","",""
"1762090367-10","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","IT Security Analyst - Americas","",""
"1762090367-11","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","RR-0279517 - Manager Cloud Engineering","",""
"1762090367-12","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","RR-0279517 - Manager Cloud Engineering","",""
"1762090367-13","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Business Analyst - Blue Yonder","",""
"1762090367-14","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Business Analyst Development","",""
"1762090367-15","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Tender & Trade Analyst","",""
"1762090367-16","https://cl.indeed.com/jobs?q=business+analyst&l=Chile&radius=25&from=searchOnDesktopSerp%2Cwhatautocomplete%2CwhatautocompleteSourceStandard%2Cwhereautocomplete&start=50&vjk=5de91dd748ef2c1b","Tender & Trade Analyst","",""
